hour,production,consumption
2023-09-01 00:00,0.0,2.52
2023-09-01 01:00,0.0,2.87
2023-09-01 02:00,0.0,2.93
2023-09-01 03:00,0.0,3.2
2023-09-01 04:00,0.0,2.65
2023-09-01 05:00,0.0,3.4
2023-09-01 06:00,0.0,9.91
2023-09-01 07:00,1.16,8.38
2023-09-01 08:00,1.83,8.88
2023-09-01 09:00,2.48,9.11
2023-09-01 10:00,3.16,8.15
2023-09-01 11:00,3.02,8.16
2023-09-01 12:00,5.0,10.41
2023-09-01 13:00,3.16,8.82
2023-09-01 14:00,2.09,10.75
2023-09-01 15:00,1.4,7.84
2023-09-01 16:00,1.12,8.69
2023-09-01 17:00,1.03,9.33
2023-09-01 18:00,0.09,8.5
2023-09-01 19:00,0.0,9.43
2023-09-01 20:00,0.0,6.89
2023-09-01 21:00,0.0,7.19
2023-09-01 22:00,0.0,8.41
2023-09-01 23:00,0.0,2.23
2023-09-02 00:00,0.0,3.07
2023-09-02 01:00,0.0,3.22
2023-09-02 02:00,0.0,2.29
2023-09-02 03:00,0.0,2.93
2023-09-02 04:00,0.0,2.62
2023-09-02 05:00,0.0,2.13
2023-09-02 06:00,0.0,10.47
2023-09-02 07:00,2.18,9.73
2023-09-02 08:00,2.1,9.26
2023-09-02 09:00,1.81,9.88
2023-09-02 10:00,4.58,8.52
2023-09-02 11:00,3.69,8.61
2023-09-02 12:00,4.67,8.79
2023-09-02 13:00,4.02,10.1
2023-09-02 14:00,3.35,8.16
2023-09-02 15:00,3.11,7.72
2023-09-02 16:00,1.23,9.82
2023-09-02 17:00,0.67,9.68
2023-09-02 18:00,0.7,7.56
2023-09-02 19:00,0.0,9.63
2023-09-02 20:00,0.0,7.09
2023-09-02 21:00,0.0,9.32
2023-09-02 22:00,0.0,8.95
2023-09-02 23:00,0.0,3.16
2023-09-03 00:00,0.0,2.49
2023-09-03 01:00,0.0,2.59
2023-09-03 02:00,0.0,2.85
2023-09-03 03:00,0.0,2.98
2023-09-03 04:00,0.0,2.43
2023-09-03 05:00,0.0,3.37
2023-09-03 06:00,0.0,7.73
2023-09-03 07:00,0.27,7.32
2023-09-03 08:00,1.81,8.05
2023-09-03 09:00,1.8,8.86
2023-09-03 10:00,3.13,8.61
2023-09-03 11:00,4.25,8.95
2023-09-03 12:00,4.14,5.21
2023-09-03 13:00,4.24,10.8
2023-09-03 14:00,2.7,10.44
2023-09-03 15:00,2.1,10.23
2023-09-03 16:00,2.08,7.63
2023-09-03 17:00,1.18,9.57
2023-09-03 18:00,0.61,9.08
2023-09-03 19:00,0.0,8.27
2023-09-03 20:00,0.0,7.67
2023-09-03 21:00,0.0,9.98
2023-09-03 22:00,0.0,8.34
2023-09-03 23:00,0.0,2.82
2023-09-04 00:00,0.0,3.59
2023-09-04 01:00,0.0,2.45
2023-09-04 02:00,0.0,3.21
2023-09-04 03:00,0.0,2.4
2023-09-04 04:00,0.0,2.82
2023-09-04 05:00,0.0,2.79
2023-09-04 06:00,0.0,9.23
2023-09-04 07:00,1.57,7.0
2023-09-04 08:00,2.36,11.5
2023-09-04 09:00,2.09,9.93
2023-09-04 10:00,2.08,8.57
2023-09-04 11:00,4.02,9.83
2023-09-04 12:00,4.82,8.75
2023-09-04 13:00,3.66,8.79
2023-09-04 14:00,3.41,9.64
2023-09-04 15:00,2.71,9.2
2023-09-04 16:00,2.3,9.06
2023-09-04 17:00,1.72,8.21
2023-09-04 18:00,0.69,9.25
2023-09-04 19:00,0.0,10.61
2023-09-04 20:00,0.0,8.32
2023-09-04 21:00,0.0,9.9
2023-09-04 22:00,0.0,9.52
2023-09-04 23:00,0.0,2.76
2023-09-05 00:00,0.0,3.39
2023-09-05 01:00,0.0,3.38
2023-09-05 02:00,0.0,3.28
2023-09-05 03:00,0.0,3.23
2023-09-05 04:00,0.0,2.74
2023-09-05 05:00,0.0,2.83
2023-09-05 06:00,0.0,9.42
2023-09-05 07:00,1.51,7.62
2023-09-05 08:00,1.87,11.65
2023-09-05 09:00,3.16,9.24
2023-09-05 10:00,2.14,8.24
2023-09-05 11:00,4.19,9.01
2023-09-05 12:00,4.09,10.37
2023-09-05 13:00,3.47,10.42
2023-09-05 14:00,3.21,9.3
2023-09-05 15:00,2.78,8.83
2023-09-05 16:00,1.75,10.51
2023-09-05 17:00,1.21,8.31
2023-09-05 18:00,0.05,8.97
2023-09-05 19:00,0.0,5.59
2023-09-05 20:00,0.0,8.5
2023-09-05 21:00,0.0,8.36
2023-09-05 22:00,0.0,8.19
2023-09-05 23:00,0.0,3.32
2023-09-06 00:00,0.0,2.88
2023-09-06 01:00,0.0,2.47
2023-09-06 02:00,0.0,3.38
2023-09-06 03:00,0.0,3.76
2023-09-06 04:00,0.0,3.02
2023-09-06 05:00,0.0,3.14
2023-09-06 06:00,0.0,9.09
2023-09-06 07:00,0.54,7.52
2023-09-06 08:00,1.05,10.44
2023-09-06 09:00,1.89,10.08
2023-09-06 10:00,3.0,9.06
2023-09-06 11:00,4.99,9.33
2023-09-06 12:00,4.28,7.69
